1,82 Coleman Lane,,San Jose,CA,95160
2,6930 Donald Lane,,Lexington,KY,40591
3,48 Grover Street,,Bronx,NY,10474
4,672 Dahle Hill,,Tuscaloosa,AL,35405
5,927 Arizona Point,,Los Angeles,CA,90076
6,09838 Carey Lane,,Syracuse,NY,13205
7,9 Roxbury Lane,,Bellevue,WA,98008
8,64087 Elgar Place,,Hartford,CT,6160
9,8 Elmside Trail,,Salt Lake City,UT,84140
10,66 Kensington Road,,Van Nuys,CA,91411
11,8 Fairview Circle,,Oakland,CA,94611
12,31 Melby Avenue,,Milwaukee,WI,53205
13,6 Vahlen Alley,,Portland,OR,97229
14,99 Anniversary Way,,Durham,NC,27705
